avgdist,bestpos,generation,maxdist,mindist
40976.0,"LAA,LAD,COL,SFG,PIT,BAL,TOR,SEA,STL,HOU,TEX,NYY,BOS,TBR,WAS,OAK,KAN,NYM,ATL,DET,CLE,CHC,PHI,CIN,FLA,CHW,MIN,MIL,SDP,ARI",0,48591.0,30735.0
15782.0,"STL,KAN,MIN,MIL,CHW,CHC,CIN,CLE,DET,TOR,BOS,PHI,NYY,NYM,BAL,WAS,PIT,FLA,TBR,ATL,HOU,TEX,ARI,SDP,LAD,OAK,LAA,SFG,SEA,COL",100,22713.0,12166.0
12889.0,"MIN,MIL,CHC,CHW,CIN,CLE,DET,TOR,BOS,PHI,NYY,NYM,BAL,WAS,PIT,FLA,TBR,ATL,HOU,TEX,ARI,SDP,LAD,OAK,LAA,SFG,SEA,COL,STL,KAN",200,17373.0,12149.0
12366.0,"CLE,DET,TOR,BOS,PHI,NYY,NYM,BAL,WAS,FLA,TBR,ATL,HOU,TEX,ARI,SDP,LAA,LAD,OAK,SFG,SEA,COL,KAN,STL,MIN,MIL,CHC,CHW,CIN,PIT",300,20995.0,11043.0
13007.0,"FLA,TBR,ATL,HOU,TEX,ARI,SDP,LAA,LAD,OAK,SFG,SEA,COL,KAN,STL,MIN,MIL,CHC,CHW,CIN,PIT,CLE,DET,TOR,BOS,PHI,NYY,NYM,BAL,WAS",400,18739.0,11043.0
13364.0,"FLA,TBR,ATL,HOU,TEX,ARI,SDP,LAA,LAD,OAK,SFG,SEA,COL,KAN,STL,MIN,MIL,CHC,CHW,CIN,PIT,CLE,DET,TOR,BOS,NYM,NYY,PHI,BAL,WAS",500,18673.0,10824.0
15484.0,"FLA,TBR,ATL,HOU,TEX,ARI,SDP,LAA,LAD,OAK,SFG,SEA,COL,KAN,STL,MIN,MIL,CHC,CHW,CIN,PIT,CLE,DET,TOR,BOS,NYM,NYY,PHI,BAL,WAS",600,23341.0,10824.0
16085.0,"LAD,OAK,SFG,SEA,COL,KAN,STL,MIN,MIL,CHC,CHW,CIN,PIT,CLE,DET,TOR,BOS,NYM,NYY,PHI,BAL,WAS,FLA,TBR,ATL,HOU,TEX,ARI,SDP,LAA",700,20294.0,10824.0
16187.0,"LAA,LAD,OAK,SFG,SEA,COL,KAN,STL,MIN,MIL,CHC,CHW,CIN,PIT,CLE,DET,TOR,BOS,NYM,NYY,PHI,BAL,WAS,ATL,TBR,FLA,HOU,TEX,ARI,SDP",800,20897.0,10807.0
12221.0,"ATL,TBR,FLA,HOU,TEX,ARI,SDP,LAA,LAD,OAK,SFG,SEA,COL,KAN,STL,MIN,MIL,CHC,CHW,CIN,PIT,CLE,DET,TOR,BOS,NYM,NYY,PHI,BAL,WAS",900,15548.0,10807.0
12338.0,"PHI,BAL,WAS,ATL,TBR,FLA,HOU,TEX,ARI,SDP,LAA,LAD,OAK,SFG,SEA,COL,KAN,STL,MIN,MIL,CHC,CHW,CIN,PIT,CLE,DET,TOR,BOS,NYM,NYY",1000,18582.0,10807.0
12336.0,"TBR,FLA,HOU,TEX,ARI,SDP,LAA,LAD,OAK,SFG,SEA,COL,KAN,STL,MIN,MIL,CHC,CHW,CIN,PIT,CLE,DET,TOR,BOS,NYM,NYY,PHI,BAL,WAS,ATL",1100,16949.0,10807.0
12582.0,"ATL,TBR,FLA,HOU,TEX,ARI,SDP,LAA,LAD,OAK,SFG,SEA,COL,KAN,STL,MIN,MIL,CHC,CHW,CIN,PIT,CLE,DET,TOR,BOS,NYM,NYY,PHI,BAL,WAS",1200,18702.0,10807.0
12923.0,"ARI,SDP,LAA,LAD,OAK,SFG,SEA,COL,KAN,STL,MIN,MIL,CHC,CHW,CIN,PIT,CLE,DET,TOR,BOS,NYM,NYY,PHI,BAL,WAS,ATL,TBR,FLA,HOU,TEX",1300,24557.0,10807.0
11162.0,"BOS,NYM,NYY,PHI,BAL,WAS,ATL,TBR,FLA,HOU,TEX,ARI,SDP,LAA,LAD,OAK,SFG,SEA,COL,KAN,STL,MIN,MIL,CHC,CHW,CIN,PIT,CLE,DET,TOR",1400,16775.0,10807.0
12452.0,"DET,TOR,BOS,NYM,NYY,PHI,BAL,WAS,ATL,TBR,FLA,HOU,TEX,ARI,SDP,LAA,LAD,OAK,SFG,SEA,COL,KAN,STL,MIN,MIL,CHC,CHW,CIN,PIT,CLE",1500,18395.0,10807.0
11929.0,"TOR,BOS,NYM,NYY,PHI,BAL,WAS,ATL,TBR,FLA,HOU,TEX,ARI,SDP,LAA,LAD,OAK,SFG,SEA,COL,KAN,STL,MIN,MIL,CHC,CHW,CIN,PIT,CLE,DET",1600,18918.0,10807.0
13435.0,"CIN,PIT,CLE,DET,TOR,BOS,NYM,NYY,PHI,BAL,WAS,ATL,TBR,FLA,HOU,TEX,ARI,SDP,LAA,LAD,OAK,SFG,SEA,COL,KAN,STL,MIN,MIL,CHC,CHW",1700,20060.0,10807.0
12511.0,"TBR,FLA,HOU,TEX,ARI,SDP,LAA,LAD,OAK,SFG,SEA,COL,KAN,STL,MIN,MIL,CHC,CHW,CIN,PIT,CLE,DET,TOR,BOS,NYM,NYY,PHI,BAL,WAS,ATL",1800,17114.0,10807.0
13172.0,"TBR,FLA,HOU,TEX,ARI,SDP,LAA,LAD,OAK,SFG,SEA,COL,KAN,STL,MIN,MIL,CHC,CHW,CIN,PIT,CLE,DET,TOR,BOS,NYM,NYY,PHI,BAL,WAS,ATL",1900,15306.0,10807.0
13208.0,"SEA,COL,KAN,STL,MIN,MIL,CHC,CHW,CIN,PIT,CLE,DET,TOR,BOS,NYM,NYY,PHI,BAL,WAS,ATL,TBR,FLA,HOU,TEX,ARI,SDP,LAA,LAD,OAK,SFG",2000,18329.0,10807.0
12992.0,"KAN,STL,MIN,MIL,CHC,CHW,CIN,PIT,CLE,DET,TOR,BOS,NYM,NYY,PHI,BAL,WAS,ATL,TBR,FLA,HOU,TEX,ARI,SDP,LAA,LAD,OAK,SFG,SEA,COL",2100,20245.0,10807.0
11859.0,"STL,MIN,MIL,CHC,CHW,CIN,PIT,CLE,DET,TOR,BOS,NYM,NYY,PHI,BAL,WAS,ATL,TBR,FLA,HOU,TEX,ARI,SDP,LAA,LAD,OAK,SFG,SEA,COL,KAN",2200,14877.0,10807.0
13788.0,"SFG,SEA,COL,KAN,STL,MIN,MIL,CHC,CHW,CLE,DET,TOR,BOS,NYM,NYY,PHI,BAL,WAS,PIT,CIN,ATL,TBR,FLA,HOU,TEX,ARI,SDP,LAA,LAD,OAK",2300,21532.0,10794.0
18125.0,"SFG,SEA,COL,KAN,STL,MIN,MIL,CHC,CHW,CLE,DET,TOR,BOS,NYM,NYY,PHI,BAL,WAS,PIT,CIN,ATL,TBR,FLA,HOU,TEX,ARI,SDP,LAA,LAD,OAK",2400,27590.0,10794.0
13591.0,"SFG,SEA,COL,KAN,STL,MIN,MIL,CHC,CHW,CLE,PIT,WAS,BAL,PHI,NYY,NYM,BOS,TOR,DET,CIN,ATL,TBR,FLA,HOU,TEX,ARI,SDP,LAA,LAD,OAK",2500,16476.0,10734.0
14000.0,"FLA,HOU,TEX,ARI,SDP,LAA,LAD,OAK,SFG,SEA,COL,KAN,STL,MIN,MIL,CHC,CHW,CLE,PIT,WAS,BAL,PHI,NYY,NYM,BOS,TOR,DET,CIN,ATL,TBR",2600,18315.0,10734.0
11929.0,"ATL,TBR,FLA,HOU,TEX,ARI,SDP,LAA,LAD,OAK,SFG,SEA,COL,KAN,STL,MIN,MIL,CHC,CHW,CLE,PIT,WAS,BAL,PHI,NYY,NYM,BOS,TOR,DET,CIN",2700,16791.0,10734.0
12934.0,"MIL,CHC,CHW,CLE,PIT,WAS,BAL,PHI,NYY,NYM,BOS,TOR,DET,CIN,ATL,TBR,FLA,HOU,TEX,ARI,SDP,LAA,LAD,OAK,SFG,SEA,COL,KAN,STL,MIN",2800,22225.0,10734.0
11844.0,"HOU,TEX,ARI,SDP,LAA,LAD,OAK,SFG,SEA,COL,KAN,STL,MIN,MIL,CHC,CHW,CLE,PIT,WAS,BAL,PHI,NYY,NYM,BOS,TOR,DET,CIN,ATL,TBR,FLA",2900,16234.0,10734.0
