DestAddr,DestCode,DestName,Distance,Duration,OrigAddr,OrigCode,OrigName
"200-298 S 4th St, Phoenix, AZ 85004, USA",ARI,Chase Field,0,0,"200-298 S 4th St, Phoenix, AZ 85004, USA",ARI,Chase Field
"Downtown Connector, Atlanta, GA 30315, USA",ATL,Turner Field,2969738,93542,"200-298 S 4th St, Phoenix, AZ 85004, USA",ARI,Chase Field
"501-599 Eislen St, Baltimore, MD 21230, USA",BAL,Oriole Park at Camden Yards,3660687,120575,"200-298 S 4th St, Phoenix, AZ 85004, USA",ARI,Chase Field
"1-99 Fenway Plaza, Boston, MA 02215, USA",BOS,Fenway Park,4256093,139057,"200-298 S 4th St, Phoenix, AZ 85004, USA",ARI,Chase Field
"3667 N Clark St, Chicago, IL 60613, USA",CHC,Wrigley Field,2830198,92541,"200-298 S 4th St, Phoenix, AZ 85004, USA",ARI,Chase Field
"333 W 35th St, Chicago, IL 60616, USA",CHW,US Cellular Field,2816943,91387,"200-298 S 4th St, Phoenix, AZ 85004, USA",ARI,Chase Field
"184-190 Walnut St, Cincinnati, OH 45202, USA",CIN,Great American Ballpark,2904008,94493,"200-298 S 4th St, Phoenix, AZ 85004, USA",ARI,Chase Field
"519 Bolivar Rd, Cleveland, OH 44115, USA",CLE,Progressive Field,3240417,105555,"200-298 S 4th St, Phoenix, AZ 85004, USA",ARI,Chase Field
"1726-1792 20th St, Denver, CO 80202, USA",COL,Coors Field,1391725,45468,"200-298 S 4th St, Phoenix, AZ 85004, USA",ARI,Chase Field
"1774 Cherry St, Detroit, MI 48216, USA",DET,Tiger Stadium,3225672,104394,"200-298 S 4th St, Phoenix, AZ 85004, USA",ARI,Chase Field
"1641 NW 5th St, Miami, FL 33125, USA",FLA,Marlins Park,3798365,118786,"200-298 S 4th St, Phoenix, AZ 85004, USA",ARI,Chase Field
"1500 Texas St, Houston, TX 77002, USA",HOU,Minute Main Park,1892529,59184,"200-298 S 4th St, Phoenix, AZ 85004, USA",ARI,Chase Field
"Lancer Ln, Kansas City, MO 64129, USA",KAN,Kauffman Stadium,1945782,66713,"200-298 S 4th St, Phoenix, AZ 85004, USA",ARI,Chase Field
"2000 E Gene Autry Way, Anaheim, CA 92806, USA",LAA,Angel Stadium of Anaheim,574128,19095,"200-298 S 4th St, Phoenix, AZ 85004, USA",ARI,Chase Field
"Echo Park, Los Angeles, CA, USA",LAD,Dodger Stadium,603369,20230,"200-298 S 4th St, Phoenix, AZ 85004, USA",ARI,Chase Field
"221 Frederick Miller Way, Milwaukee, WI 53214, USA",MIL,Miller Park,2947853,95388,"200-298 S 4th St, Phoenix, AZ 85004, USA",ARI,Chase Field
"499 N 7th St, Minneapolis, MN 55405, USA",MIN,Target Field,2644795,89138,"200-298 S 4th St, Phoenix, AZ 85004, USA",ARI,Chase Field
"Boat Basin Pl, Corona, NY 11368, USA",NYM,Citi Field,3905827,129188,"200-298 S 4th St, Phoenix, AZ 85004, USA",ARI,Chase Field
"Macombs Dam Bridge, Bronx, NY 10452, USA",NYY,Yankee Stadium,3891384,128371,"200-298 S 4th St, Phoenix, AZ 85004, USA",ARI,Chase Field
"7000 Coliseum Way, Oakland, CA 94621, USA",OAK,O.co Stadium,1185719,38461,"200-298 S 4th St, Phoenix, AZ 85004, USA",ARI,Chase Field
"16 S 11th St, Philadelphia, PA 19148, USA",PHI,Citizens Bank Park,3773694,124060,"200-298 S 4th St, Phoenix, AZ 85004, USA",ARI,Chase Field
"211 N Shore Dr, Pittsburgh, PA 15212, USA",PIT,PNC Park,3309921,108267,"200-298 S 4th St, Phoenix, AZ 85004, USA",ARI,Chase Field
"200-224 Sixth Ave, San Diego, CA 92101, USA",SDP,Petco Park,572463,18969,"200-298 S 4th St, Phoenix, AZ 85004, USA",ARI,Chase Field
"176-190 King St, San Francisco, CA 94107, USA",SFG,AT&T Park,1210746,39655,"200-298 S 4th St, Phoenix, AZ 85004, USA",ARI,Chase Field
"1181 Dave Niehaus Way S, Seattle, WA 98134, USA",SEA,Safeco Field,2290862,77903,"200-298 S 4th St, Phoenix, AZ 85004, USA",ARI,Chase Field
"698 S 8th St, St. Louis, MO 63102, USA",STL,Busch Stadium,2343243,76165,"200-298 S 4th St, Phoenix, AZ 85004, USA",ARI,Chase Field
"1634-1680 3rd Ave S, St. Petersburg, FL 33705, USA",TBR,Tropicana Field,3501980,109761,"200-298 S 4th St, Phoenix, AZ 85004, USA",ARI,Chase Field
"1000-1152 Nolan Ryan Expy, Arlington, TX 76011, USA",TEX,Ballpark in Arlington,1685048,52958,"200-298 S 4th St, Phoenix, AZ 85004, USA",ARI,Chase Field
"83 Navy Wharf Ct, Toronto, ON M5V, Canada",TOR,Rogers Centre,3606949,117192,"200-298 S 4th St, Phoenix, AZ 85004, USA",ARI,Chase Field
"8 O St SW, Washington, DC 20024, USA",WAS,Nationals Park,3705557,120673,"200-298 S 4th St, Phoenix, AZ 85004, USA",ARI,Chase Field
"200-298 S 4th St, Phoenix, AZ 85004, USA",ARI,Chase Field,2973212,93880,"Downtown Connector, Atlanta, GA 30315, USA",ATL,Turner Field
"Downtown Connector, Atlanta, GA 30315, USA",ATL,Turner Field,0,0,"Downtown Connector, Atlanta, GA 30315, USA",ATL,Turner Field
"501-599 Eislen St, Baltimore, MD 21230, USA",BAL,Oriole Park at Camden Yards,1100140,36519,"Downtown Connector, Atlanta, GA 30315, USA",ATL,Turner Field
"1-99 Fenway Plaza, Boston, MA 02215, USA",BOS,Fenway Park,1739702,58758,"Downtown Connector, Atlanta, GA 30315, USA",ATL,Turner Field
"3667 N Clark St, Chicago, IL 60613, USA",CHC,Wrigley Field,1167903,39481,"Downtown Connector, Atlanta, GA 30315, USA",ATL,Turner Field
"333 W 35th St, Chicago, IL 60616, USA",CHW,US Cellular Field,1151671,38296,"Downtown Connector, Atlanta, GA 30315, USA",ATL,Turner Field
"184-190 Walnut St, Cincinnati, OH 45202, USA",CIN,Great American Ballpark,745250,24132,"Downtown Connector, Atlanta, GA 30315, USA",ATL,Turner Field
"519 Bolivar Rd, Cleveland, OH 44115, USA",CLE,Progressive Field,1145799,37376,"Downtown Connector, Atlanta, GA 30315, USA",ATL,Turner Field
"1726-1792 20th St, Denver, CO 80202, USA",COL,Coors Field,2260137,71943,"Downtown Connector, Atlanta, GA 30315, USA",ATL,Turner Field
"1774 Cherry St, Detroit, MI 48216, USA",DET,Tiger Stadium,1164027,38213,"Downtown Connector, Atlanta, GA 30315, USA",ATL,Turner Field
"1641 NW 5th St, Miami, FL 33125, USA",FLA,Marlins Park,1062924,33167,"Downtown Connector, Atlanta, GA 30315, USA",ATL,Turner Field
"1500 Texas St, Houston, TX 77002, USA",HOU,Minute Main Park,1272738,40112,"Downtown Connector, Atlanta, GA 30315, USA",ATL,Turner Field
"Lancer Ln, Kansas City, MO 64129, USA",KAN,Kauffman Stadium,1282306,41693,"Downtown Connector, Atlanta, GA 30315, USA",ATL,Turner Field
"2000 E Gene Autry Way, Anaheim, CA 92806, USA",LAA,Angel Stadium of Anaheim,3494140,112409,"Downtown Connector, Atlanta, GA 30315, USA",ATL,Turner Field
"Echo Park, Los Angeles, CA, USA",LAD,Dodger Stadium,3504820,113076,"Downtown Connector, Atlanta, GA 30315, USA",ATL,Turner Field
"221 Frederick Miller Way, Milwaukee, WI 53214, USA",MIL,Miller Park,1317565,43670,"Downtown Connector, Atlanta, GA 30315, USA",ATL,Turner Field
"499 N 7th St, Minneapolis, MN 55405, USA",MIN,Target Field,1826570,58656,"Downtown Connector, Atlanta, GA 30315, USA",ATL,Turner Field
"Boat Basin Pl, Corona, NY 11368, USA",NYM,Citi Field,1432690,48010,"Downtown Connector, Atlanta, GA 30315, USA",ATL,Turner Field
"Macombs Dam Bridge, Bronx, NY 10452, USA",NYY,Yankee Stadium,1418247,47193,"Downtown Connector, Atlanta, GA 30315, USA",ATL,Turner Field
"7000 Coliseum Way, Oakland, CA 94621, USA",OAK,O.co Stadium,3956781,127637,"Downtown Connector, Atlanta, GA 30315, USA",ATL,Turner Field
"16 S 11th St, Philadelphia, PA 19148, USA",PHI,Citizens Bank Park,1253225,41746,"Downtown Connector, Atlanta, GA 30315, USA",ATL,Turner Field
"211 N Shore Dr, Pittsburgh, PA 15212, USA",PIT,PNC Park,1106432,37343,"Downtown Connector, Atlanta, GA 30315, USA",ATL,Turner Field
"200-224 Sixth Ave, San Diego, CA 92101, USA",SDP,Petco Park,3452352,109048,"Downtown Connector, Atlanta, GA 30315, USA",ATL,Turner Field
"176-190 King St, San Francisco, CA 94107, USA",SFG,AT&T Park,3981808,128831,"Downtown Connector, Atlanta, GA 30315, USA",ATL,Turner Field
"1181 Dave Niehaus Way S, Seattle, WA 98134, USA",SEA,Safeco Field,4247018,138812,"Downtown Connector, Atlanta, GA 30315, USA",ATL,Turner Field
"698 S 8th St, St. Louis, MO 63102, USA",STL,Busch Stadium,896968,28996,"Downtown Connector, Atlanta, GA 30315, USA",ATL,Turner Field
"1634-1680 3rd Ave S, St. Petersburg, FL 33705, USA",TBR,Tropicana Field,766539,24142,"Downtown Connector, Atlanta, GA 30315, USA",ATL,Turner Field
"1000-1152 Nolan Ryan Expy, Arlington, TX 76011, USA",TEX,Ballpark in Arlington,1289441,41392,"Downtown Connector, Atlanta, GA 30315, USA",ATL,Turner Field
"83 Navy Wharf Ct, Toronto, ON M5V, Canada",TOR,Rogers Centre,1533465,51220,"Downtown Connector, Atlanta, GA 30315, USA",ATL,Turner Field
"8 O St SW, Washington, DC 20024, USA",WAS,Nationals Park,1031208,33987,"Downtown Connector, Atlanta, GA 30315, USA",ATL,Turner Field
"200-298 S 4th St, Phoenix, AZ 85004, USA",ARI,Chase Field,3663548,121088,"501-599 Eislen St, Baltimore, MD 21230, USA",BAL,Oriole Park at Camden Yards
"Downtown Connector, Atlanta, GA 30315, USA",ATL,Turner Field,1098978,36476,"501-599 Eislen St, Baltimore, MD 21230, USA",BAL,Oriole Park at Camden Yards
"501-599 Eislen St, Baltimore, MD 21230, USA",BAL,Oriole Park at Camden Yards,0,0,"501-599 Eislen St, Baltimore, MD 21230, USA",BAL,Oriole Park at Camden Yards
"1-99 Fenway Plaza, Boston, MA 02215, USA",BOS,Fenway Park,646285,22860,"501-599 Eislen St, Baltimore, MD 21230, USA",BAL,Oriole Park at Camden Yards
"3667 N Clark St, Chicago, IL 60613, USA",CHC,Wrigley Field,1137324,38570,"501-599 Eislen St, Baltimore, MD 21230, USA",BAL,Oriole Park at Camden Yards
"333 W 35th St, Chicago, IL 60616, USA",CHW,US Cellular Field,1121092,37384,"501-599 Eislen St, Baltimore, MD 21230, USA",BAL,Oriole Park at Camden Yards
"184-190 Walnut St, Cincinnati, OH 45202, USA",CIN,Great American Ballpark,815852,28123,"501-599 Eislen St, Baltimore, MD 21230, USA",BAL,Oriole Park at Camden Yards
"519 Bolivar Rd, Cleveland, OH 44115, USA",CLE,Progressive Field,601289,20658,"501-599 Eislen St, Baltimore, MD 21230, USA",BAL,Oriole Park at Camden Yards
"1726-1792 20th St, Denver, CO 80202, USA",COL,Coors Field,2671319,87089,"501-599 Eislen St, Baltimore, MD 21230, USA",BAL,Oriole Park at Camden Yards
"1774 Cherry St, Detroit, MI 48216, USA",DET,Tiger Stadium,842190,28112,"501-599 Eislen St, Baltimore, MD 21230, USA",BAL,Oriole Park at Camden Yards
"1641 NW 5th St, Miami, FL 33125, USA",FLA,Marlins Park,1760158,56201,"501-599 Eislen St, Baltimore, MD 21230, USA",BAL,Oriole Park at Camden Yards
"1500 Texas St, Houston, TX 77002, USA",HOU,Minute Main Park,2322974,75253,"501-599 Eislen St, Baltimore, MD 21230, USA",BAL,Oriole Park at Camden Yards
"Lancer Ln, Kansas City, MO 64129, USA",KAN,Kauffman Stadium,1693487,56839,"501-599 Eislen St, Baltimore, MD 21230, USA",BAL,Oriole Park at Camden Yards
"2000 E Gene Autry Way, Anaheim, CA 92806, USA",LAA,Angel Stadium of Anaheim,4247241,138239,"501-599 Eislen St, Baltimore, MD 21230, USA",BAL,Oriole Park at Camden Yards
"Echo Park, Los Angeles, CA, USA",LAD,Dodger Stadium,4257921,138906,"501-599 Eislen St, Baltimore, MD 21230, USA",BAL,Oriole Park at Camden Yards
"221 Frederick Miller Way, Milwaukee, WI 53214, USA",MIL,Miller Park,1276778,42983,"501-599 Eislen St, Baltimore, MD 21230, USA",BAL,Oriole Park at Camden Yards
"499 N 7th St, Minneapolis, MN 55405, USA",MIN,Target Field,1786448,59654,"501-599 Eislen St, Baltimore, MD 21230, USA",BAL,Oriole Park at Camden Yards
"Boat Basin Pl, Corona, NY 11368, USA",NYM,Citi Field,339273,12112,"501-599 Eislen St, Baltimore, MD 21230, USA",BAL,Oriole Park at Camden Yards
